,Territory,County,subcategory,BRAND,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,White Space Score,WEIGHT,AWS,overall_coverage_pct,Opportunity Score
124,CENTRAL,MACHAKOS,dishwashing liquid,USHINDI,11.099,0.000309002,0.000152354,64.84676405,0.003209586,0.208131265,28.11,0.1496255664085
125,CENTRAL,MACHAKOS,dishwashing paste,USHINDI,29.2,0.000812944,0.000400824,64.84676405,0.013186416,0.855096419,28.11,0.6147288156191
126,CENTRAL,MACHAKOS,fat,FRYMATE,12.0,0.000183755,0.00031503,37.92318682,0.000469399,0.017801099,28.11,0.0127972100711
127,CENTRAL,MACHAKOS,glycerine,SAWA,0.454,3.09e-06,2.98e-06,50.01920131,0.000318148,0.015913531,28.11,0.0114402374359
128,CENTRAL,MACHAKOS,lotion,BELLEZA,2.6893125,0.000622794,0.00033802,50.01920131,0.001182166,0.059131008,28.11,0.0425092816512
129,CENTRAL,MACHAKOS,lotion,FRESCO,6.2750625,0.002702349,0.001127335,50.01920131,0.004633435,0.231760741,28.11,0.16661279670489998
130,CENTRAL,MACHAKOS,milking jelly,SAWA,2.448,1.89e-05,1.6e-05,68.53715579,0.00057922,0.039698077,28.11,0.0285389475553
131,CENTRAL,MACHAKOS,oil,FRESH FRI,324.3293333,0.001827549,0.00117659,44.40835361,0.005238111,0.232615876,28.11,0.16722755325639999
132,CENTRAL,MACHAKOS,oil,POPCO,17.82,0.0,0.000100954,44.00430178,0.0,0.0,28.11,0.0
133,CENTRAL,MACHAKOS,oil,SALIT,7013.952,0.02905676,0.006218105,33.57641678,0.02905676,0.975621881,28.11,0.7013745702509
134,CENTRAL,MACHAKOS,petroleum jelly,SAWA,0.2975,1.85e-06,1.95e-06,68.53715579,0.000954364,0.065409397,28.11,0.047022815503299994
135,CENTRAL,MACHAKOS,toilet soap,SAWA,127.091,0.001004799,0.000833058,43.84369783,0.003589125,0.157360513,28.11,0.1131264727957
136,CENTRAL,MARSABIT,bar soap,USHINDI,2382.675,0.066334947,0.032706599,58.4682421,0.19183754,11.21640372,0.04,11.211917158512001
137,CENTRAL,MARSABIT,bar soap,WHITEWASH,27644.05,0.122489381,0.235294503,42.318709,1.0,42.318709,0.04,42.3017815164
138,CENTRAL,MARSABIT,bathing soap,DETREX,281.04,0.004270707,0.009436771,66.28906039,0.024667,1.635152268,0.04,1.6344982070928
139,CENTRAL,MARSABIT,bathing soap,SAWA,516.58,0.004085697,0.003386087,43.84369783,0.149249532,6.543651374,0.04,6.5410339134504
140,CENTRAL,MARSABIT,detergent,RAINBOW,2.1,0.001011015,0.011053795,64.84676405,0.014953565,0.969690317,0.04,0.9693024408732
141,CENTRAL,MARSABIT,detergent,USHINDI,0.0,0.0,0.0,64.84676405,,,0.04,
142,CENTRAL,MARSABIT,dishwashing liquid,USHINDI,130.1738333,0.003624109,0.001786875,64.84676405,0.037643401,2.441052758,0.04,2.4400763368968
